???"COMPANY_SN","PERIOD","CNT"
"山东晨晖","2024/2/1","859"
"山东晨晖","2024/3/1","2079"
"山东晨晖","2024/4/1","2195"
"山东晨晖","2024/5/1","2145"
"山东晨晖","2024/6/1","2012"
"山东晨晖","2024/7/1","1684"
"山东晨晖","2024/8/1","2153"
"山东晨晖","2024/9/1","2245"
"山东晨晖","2024/10/1","2023"
"山东晨晖","2024/11/1","2477"
"母公司","2024/2/1","5650"
"母公司","2024/3/1","23955"
"母公司","2024/4/1","21748"
"母公司","2024/5/1","25849"
"母公司","2024/6/1","21693"
"母公司","2024/7/1","19025"
"母公司","2024/8/1","20581"
"母公司","2024/9/1","21495"
"母公司","2024/10/1","18931"
"母公司","2024/11/1","22794"
"济南科德","2024/2/6","2"
"济南科德","2024/2/7","2"
"济南科德","2024/2/8","8"
"济南科德","2024/2/22","5"
"济南科德","2024/2/23","3"
"济南科德","2024/2/26","2"
"济南科德","2024/2/28","50"
"济南科德","2024/2/29","1426"
"济南科德","2024/3/2","2"
"济南科德","2024/3/7","1"
"济南科德","2024/3/12","4"
"济南科德","2024/3/20","4"
"济南科德","2024/3/22","5"
"济南科德","2024/3/23","4"
"济南科德","2024/3/25","7"
"济南科德","2024/3/26","10"
"济南科德","2024/3/27","1171"
"济南科德","2024/3/28","7"
"济南科德","2024/3/29","8"
"济南科德","2024/3/30","20"
"济南科德","2024/4/7","2"
"济南科德","2024/4/9","2"
"济南科德","2024/4/10","9"
"济南科德","2024/4/15","2"
"济南科德","2024/4/22","6"
"济南科德","2024/4/23","3"
"济南科德","2024/4/24","2"
"济南科德","2024/4/25","5"
"济南科德","2024/4/26","1"
"济南科德","2024/4/28","12"
"济南科德","2024/4/29","46"
"济南科德","2024/4/30","1515"
"济南科德","2024/5/11","4"
"济南科德","2024/5/13","4"
"济南科德","2024/5/14","3"
"济南科德","2024/5/15","9"
"济南科德","2024/5/16","4"
"济南科德","2024/5/20","3"
"济南科德","2024/5/21","6"
"济南科德","2024/5/22","12"
"济南科德","2024/5/23","11"
"济南科德","2024/5/24","1"
"济南科德","2024/5/25","1"
"济南科德","2024/5/27","7"
"济南科德","2024/5/28","26"
"济南科德","2024/5/29","18"
"济南科德","2024/5/30","8"
"济南科德","2024/5/31","1297"
"济南科德","2024/6/4","1"
"济南科德","2024/6/11","1"
"济南科德","2024/6/12","2"
"济南科德","2024/6/14","8"
"济南科德","2024/6/15","4"
"济南科德","2024/6/18","5"
"济南科德","2024/6/20","1"
"济南科德","2024/6/21","5"
"济南科德","2024/6/22","1"
"济南科德","2024/6/24","4"
"济南科德","2024/6/25","2"
"济南科德","2024/6/26","18"
"济南科德","2024/6/28","18"
"济南科德","2024/6/29","9"
"济南科德","2024/6/30","920"
"济南科德","2024/7/16","3"
"济南科德","2024/7/20","6"
"济南科德","2024/7/24","12"
"济南科德","2024/7/25","18"
